City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,zayed city,24.3768,54.589,34.08,46,0,3.6,AE,1727727368
1,iqaluit,63.7506,-68.5145,7.85,65,75,3.6,CA,1727727369
2,lapeer,43.0514,-83.3188,23.84,60,28,4.52,US,1727727371
3,badger,64.8,-147.5333,7.77,59,20,0.89,US,1727727372
4,blackmans bay,-43.0167,147.3167,12.63,59,31,1.34,AU,1727727374
5,olonkinbyen,70.9221,-8.7187,-1.25,64,100,7.93,SJ,1727727375
6,cabedelo,-6.9811,-34.8339,26.37,72,57,7.58,BR,1727727317
7,port elizabeth,-33.918,25.5701,10.16,87,75,9.77,ZA,1727727378
8,saint-philippe,-21.3585,55.7679,21.89,80,37,5.62,RE,1727727381
9,waitangi,-43.9535,-176.5597,9.34,78,100,1.79,NZ,1727727382
10,cumana,10.4635,-64.1775,28.76,72,100,2.55,VE,1727727384
11,maintirano,-18.0667,44.0167,24.93,78,0,1.55,MG,1727727385
12,ribeira grande,38.5167,-28.7,24.32,94,40,6.69,PT,1727727386
13,vallenar,-28.5708,-70.7581,19.77,29,21,3.62,CL,1727727388
14,talnakh,69.4865,88.3972,4.24,96,100,2.39,RU,1727727389
15,labasa,-16.4167,179.3833,25.26,80,67,2.86,FJ,1727727391
16,bethel,41.3712,-73.414,22.43,65,0,5.14,US,1727727392
17,toliara,-23.35,43.6667,23.93,87,74,1.74,MG,1727727395
18,puerto natales,-51.7236,-72.4875,5.25,60,75,12.35,CL,1727727396
19,mayna,54.1135,47.6231,12.52,35,63,1.78,RU,1727727398
20,port-aux-francais,-49.35,70.2167,2.68,97,100,20.62,TF,1727727399
21,longyearbyen,78.2186,15.6401,-1.09,93,75,4.12,SJ,1727727401
22,reggane,26.7158,0.1714,36.1,16,6,4.11,DZ,1727727402
23,ilulissat,69.2167,-51.1,4.01,93,100,3.6,GL,1727727403
24,vavuniya,8.7514,80.4971,23.93,92,99,1.29,LK,1727727405
25,grytviken,-54.2811,-36.5092,-1.1,74,18,7.84,GS,1727727204
26,lebu,-37.6167,-73.65,12.14,77,100,3.24,CL,1727727409
27,atafu village,-8.5421,-172.5159,27.67,77,74,3.91,TK,1727727229
